Most Similar Row Index,Question,Attribute name,Answer for item 1 - Park,Answer for item 12 - Farm,Answer for item 18 - Art Gallery,Answer for item 26 - Spa,Answer for item 11 - Countryside,Answer for item 21 – Restaurant,Answer for item 25 – Gym,Answer for item 21 - Restaurant,Answer for item 25 - Gym,Answer for item 2 - Beach,Answer for item 3 - Mountain,Answer for item 4 - Forest,Answer for item 5 - Lake,Answer for item 6 - River,Answer for item 7 - Desert,Answer for item 8 - City,Answer for item 9 - Town,Answer for item 10 - Village,Answer for item 13 - School,Answer for item 14 - College,Answer for item 15 - University,Answer for item 16 - Library,Answer for item 17 - Museum,Answer for item 19 - Theater,Answer for item 20 - Cinema,Answer for item 22 - Café,Answer for item 23 - Bar,Answer for item 24 - Club,Answer for item 27 - Hospital,Answer for item 28 - Clinic,Answer for item 29 - Doctor's Office,Answer for item 30 - Pharmacy,Answer for item 31 - Grocery Store,Answer for item 32 - Market,Answer for item 33 - Shopping Mall,Answer for item 34 - Department Store,Answer for item 35 - Bookstore,Answer for item 36 - Airport,Answer for item 37 - Train Station,Answer for item 38 - Bus Stop,Answer for item 39 - Subway Station,Answer for item 40 - Taxi Stand,Answer for item 41 - Car Rental,Answer for item 42 - Gas Station,Answer for item 43 - Parking Lot,Answer for item 44 - Hotel,Answer for item 45 - Motel,Answer for item 46 - Hostel,Answer for item 47 - Bed and Breakfast,Answer for item 48 - Campground,Answer for item 49 - Cruise Ship,Answer for item 50 - Ferry,Answer for item 51 - Airport Lounge,Answer for item 52 - Waiting Room,Answer for item 53 - Office,Answer for item 54 - Conference Room,Answer for item 55 - Home,Answer for item 56 - Apartment,Answer for item 57 - House,Answer for item 58 - Mansion,Answer for item 59 - Castle,Answer for item 60 - Lighthouse,Answer for item 61 - Island,Answer for item 62 - Cave,Answer for item 63 - Temple,Answer for item 64 - Church,Answer for item 65 - Mosque,Answer for item 66 - Synagogue,Answer for item 67 - Shrine,Answer for item 68 - Cemetery,Answer for item 69 - Graveyard,Answer for item 70 - Amusement Park,Answer for item 71 - Zoo,Answer for item 72 - Aquarium,Answer for item 73 - Botanical Garden,Answer for item 74 - National Park,Answer for item 75 - Historical Site,Answer for item 76 - Landmark,Answer for item 77 - Space Station,Answer for item 78 - Space Shuttle,Answer for item 79 - International Space Station,Answer for item 80 - Mars,Answer for item 81 - Moon,Answer for item 82 - Underwater Cave,Answer for item 83 - Volcano,Answer for item 84 - Waterfall,Answer for item 85 - Hot Spring,Answer for item 86 - Glacier,Answer for item 87 - Tundra,Answer for item 88 - Savannah,Answer for item 89 - Wetland,Answer for item 90 - Marsh,Answer for item 91 - Swamp,Answer for item 92 - Glacier,Answer for item 93 - Cavern,Answer for item 94 - Archipelago,Answer for item 95 - Peninsula,Answer for item 96 - Delta,Answer for item 97 - Oasis,Answer for item 98 - Ruins,Answer for item 99 - Bridge,Answer for item 100 - Dam,Answer for item 1 -Park,Answer for item 1 -Beach,Answer for item 1 -Mountain,Answer for item 1 -Forest,Answer for item 1 -Lake,Answer for item 1 -River,Answer for item 1 -Desert,Answer for item 1 -City,Answer for item 1 -Town,Answer for item 1 -Village,Answer for item 1 -Countryside,Answer for item 1 -Farm,Answer for item 1 -School,Answer for item 1 -College,Answer for item 1 -University,Answer for item 1 -Library,Answer for item 1 -Museum,Answer for item 1 -Art Gallery,Answer for item 1 -Theater,Answer for item 1 -Cinema,Answer for item 1 -Restaurant,Answer for item 1 -Café,Answer for item 1 -Bar,Answer for item 1 -Club,Answer for item 1 -Gym,Answer for item 1 -Spa,Answer for item 1 -Hospital,Answer for item 1 -Clinic,Answer for item 1 -Doctor's Office,Answer for item 1 -Pharmacy,Answer for item 1 -Grocery Store,Answer for item 1 -Market,Answer for item 1 -Shopping Mall,Answer for item 1 -Department Store,Answer for item 1 -Bookstore,Answer for item 1 -Airport,Answer for item 1 -Train Station,Answer for item 1 -Bus Stop,Answer for item 1 -Subway Station,Answer for item 1 -Taxi Stand,Answer for item 1 -Car Rental,Answer for item 1 -Gas Station,Answer for item 1 -Parking Lot,Answer for item 1 -Hotel,Answer for item 1 -Motel,Answer for item 1 -Hostel,Answer for item 1 -Bed and Breakfast,Answer for item 1 -Campground,Answer for item 1 -Cruise Ship,Answer for item 1 -Ferry,Answer for item 1 -Airport Lounge,Answer for item 1 -Waiting Room,Answer for item 1 -Office,Answer for item 1 -Conference Room,Answer for item 1 -Home,Answer for item 1 -Apartment,Answer for item 1 -House,Answer for item 1-Mansion,Answer for item 1 -Castle,Answer for item 1 -Lighthouse,Answer for item 1 -Island,Answer for item 1 -Cave,Answer for item 1 -Temple,Answer for item 1 -Church,Answer for item 1 -Mosque,Answer for item 1 -Synagogue,Answer for item 1 -Shrine,Answer for item 1 -Cemetery,Answer for item 1 -Graveyard,Answer for item 1 -Amusement Park,Answer for item 1 -Zoo,Answer for item 1 -Aquarium,Answer for item 1 -Botanical Garden,Answer for item 1 -National Park,Answer for item 1 -Historical Site,Answer for item 1 -Landmark,Answer for item 1 -Space Station,Answer for item 1 -Space Shuttle,Answer for item 1 -International Space Station,Answer for item 1 -Mars,Answer for item 1 -Moon,Answer for item 1 -Underwater Cave,Answer for item 1 -Volcano,Answer for item 1 -Waterfall,Answer for item 1 -Hot Spring,Answer for item 1 -Glacier,Answer for item 1 -Tundra,Answer for item 1 -\Savannah,Answer for item 1 -Wetland,Answer for item 1 -Marsh,Answer for item 1 -Swamp,Answer for item 1 -Glacier.1,Answer for item 1 -Cavern,Answer for item 1 -Archipelago,Answer for item 1 -Peninsula,Answer for item 1 -Delta,Answer for item 1 -Oasis,Answer for item 1 -Ruins,Answer for item 1 -Bridge,Answer for item 1 -Dam
85,What is the average extension of X?,extension,"large, huge","medium, large","small, medium","small, medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,What do you need to accede into X?,access,"nothing, guide, map, jeep","permission, scheduled visit","ticket, membership, admission fee","appintment, reservation, payment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,What sounds can you generally hear in X?,sounds,"birdsong, children playng, wind in the trees","animal sounds, tractor sounds","silence, audio guides, foot steps","soft music, nature sounds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,What are the general feelings associated to X?,feelings,"relax, adventure, peace, joy","rustic charm, serenity, hard work","inspiration, reflection, awe, wonder","relax, peace, confort, escape, calmness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,What objects would you bring with you in X? ,object brought,"hat, portable chairs, sunglasses, snaks","comfortable clothing and footwear, bug repellent","camera, sketchbook, headphones","towel, swimsuit, blanket, book",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Is X tipically outdoors or indoors?,outdoor-indoor,outdoor,outdoor,indoor,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,What is X tipically composed of?,composed of,"mountains, valleys, ills, grass, trees, canyons","silos, fences, structures","artworks, sculptures, lights, rooms","tubes, showers, changing rooms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"if X can be of different types, what would they be?",types,"national, urban, tropical","crop, livestock, dairy","contemporary art, modern art, historical, science","day, thermal, resort, medical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,What kind of adjectives are usually associated with X?,adjectives,"green, serene, spacious, natural","rural, productive, fertile","inspiring, elegant, innovative eclectic","relaxing, holistic, calming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Who usually manages X?,menaged by,"park ranger, management staff","owner, manager, agricultural expert","curator, director, management team","manager, owner, director.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,for whom was X created?,created for,public looking for recreation or enjoyment of nature,"cultivate, produce, consumptio, sale","art enthusiasts, the public, artists","individuals seeking relaxation, wellness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,How should you behave in X?,behaviour,"respect nature, follow rules","follow safety guidelines, respect the environment","behave quietly, respect the artwork","calm, relaxed, follow etiquette",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,What is the typical dress code for X?,dress code,"casual, comfortable clothing for outdoor activities","casual, work attire","smart casual, business casual","comfortable, modest clothing, swimsuit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Does X have specific opening hours or periods of operation?,periods,during daylight hours,"operational year-round, specific hours for visits","designated opening hours for visitors, daytime","scheduled appointments, during specific hours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,What is the primary purpose of this location?,Purpose,Recreation,,,,Agriculture,Dining,Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,What are the common activities here?,Activities,"Walking, Picnics",,,,"Farming, Hiking","Eating, Socializing","Workouts, Classes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Is this location naturally occurring or man-made?,Origin,Man-made,,,,Natural,Man-made,Man-made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,What is the typical climate of this area?,Climate,Varies,,,,Varies,Indoor,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Is this location typically crowded or secluded?,Crowd_Level,Varies,,,,Secluded,Can be crowded,Can be crowded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Are there any specific rules to follow here?,Rules,Park regulations,,,,Land use regulations,Restaurant etiquette,Gym etiquette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,What is the best time to visit?,Best_Visit_Time,Daytime,,,,Daytime,Evenings,Mornings or Evenings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
